symbol,quarter_end_date,submission_date,window_label,promoter_pct,fii_pct,dii_pct,public_pct,source
AXISBANK,30-JUN-2025,18-JUL-2025,Q1FY26,8.17,43.81,41.21,91.83,nse_xbrl
AXISCADES,30-JUN-2025,21-JUL-2025,Q1FY26,58.2,1.61,1.35,41.8,nse_xbrl
AXITA,30-JUN-2025,18-JUL-2025,Q1FY26,41.93,2.64,,58.07,nse_xbrl
AYMSYNTEX,30-JUN-2025,17-JUL-2025,Q1FY26,65.9,3.81,0.02,34.1,nse_xbrl
AZAD,30-JUN-2025,21-JUL-2025,Q1FY26,55.42,16.15,8.91,44.58,nse_xbrl
BAGFILMS,30-JUN-2025,18-JUL-2025,Q1FY26,49.37,0.0,,53.14,screener
BAIDFIN,30-JUN-2025,09-JUL-2025,Q1FY26,36.25,0.29,,63.75,nse_xbrl
BAJAJ-AUTO,30-JUN-2025,21-JUL-2025,Q1FY26,55.04,10.3,12.09,44.93,nse_xbrl
BAJAJCON,30-JUN-2025,21-JUL-2025,Q1FY26,40.95,10.95,16.82,59.05,nse_xbrl
BAJAJELEC,30-JUN-2025,17-JUL-2025,Q1FY26,62.72,7.89,15.57,37.28,nse_xbrl
BAJAJFINSV,30-JUN-2025,21-JUL-2025,Q1FY26,58.81,8.4,10.09,41.09,nse_xbrl
BAJAJHCARE,30-JUN-2025,19-JUL-2025,Q1FY26,59.19,1.09,3.16,40.81,nse_xbrl
BAJAJHFL,30-JUN-2025,19-JUL-2025,Q1FY26,88.7,1.04,0.6,11.25,nse_xbrl
BAJAJHIND,30-JUN-2025,16-JUL-2025,Q1FY26,24.95,2.16,8.12,74.91,nse_xbrl
BAJAJHLDNG,30-JUN-2025,21-JUL-2025,Q1FY26,51.46,10.31,7.45,48.54,nse_xbrl
BAJAJINDEF,30-JUN-2025,21-JUL-2025,Q1FY26,69.61,1.59,,30.39,nse_xbrl
BAJEL,30-JUN-2025,21-JUL-2025,Q1FY26,62.57,0.32,10.3,37.43,nse_xbrl
BALAJEE,30-JUN-2025,21-JUL-2025,Q1FY26,65.42,0.23,1.02,34.58,nse_xbrl
BALAJITELE,30-JUN-2025,21-JUL-2025,Q1FY26,31.9,25.25,0.0,68.1,nse_xbrl
BALAMINES,30-JUN-2025,21-JUL-2025,Q1FY26,54.59,5.0,1.47,45.41,nse_xbrl
BALKRISHNA,30-JUN-2025,17-JUL-2025,Q1FY26,59.95,0.0,0.03,40.05,screener
BALKRISIND,30-JUN-2025,16-JUL-2025,Q1FY26,58.29,10.5,24.84,41.71,nse_xbrl
