SYMBOL,COMPANY_NAME,SECTOR,SOURCE,LAST_UPDATED
LUMAXIND,Lumax Industries Limited,INDUSTRIAL_MANUFACTURING,AUTO_V2,2026-06-06
LUMAXTECH,Lumax Auto Technologies Limited,IT,AUTO_V2,2026-06-06
LUXIND,Lux Industries Limited,INDUSTRIAL_MANUFACTURING,AUTO_V2,2026-06-06
LXCHEM,Laxmi Organic Industries Limited,SPECIALTY_CHEMICALS,AUTO_V2,2026-06-06
M&M,Mahindra & Mahindra Limited,AUTO,AUTO_V2,2026-06-06
M&MFIN,Mahindra & Mahindra Financial Services Limited,FINANCIAL_SERVICES,AUTO_V2,2026-06-06
MAANALU,Maan Aluminium Limited,METALS,AUTO_V2,2026-06-06
MADRASFERT,Madras Fertilizers Limited,FERTILIZERS,AUTO_V2,2026-06-06
MAFATIND,Mafatlal Industries Limited,INDUSTRIAL_MANUFACTURING,AUTO_V2,2026-06-06
MAGADSUGAR,Magadh Sugar & Energy Limited,POWER,AUTO_V2,2026-06-06
MAHABANK,Bank of Maharashtra,BANKING,AUTO_V2,2026-06-06
MAHESHWARI,Maheshwari Logistics Limited,LOGISTICS,AUTO_V2,2026-06-06
MAHLIFE,Mahindra Lifespace Developers Limited,REALTY,AUTO_V2,2026-06-06
MAHLOG,Mahindra Logistics Limited,LOGISTICS,AUTO_V2,2026-06-06
MAMATA,Mamata Machinery Limited,CAPITAL_GOODS,AUTO_V2,2026-06-06
MANAKCOAT,Manaksia Coated Metals & Industries Limited,INDUSTRIAL_MANUFACTURING,AUTO_V2,2026-06-06
MANALIPETC,Manali Petrochemicals Limited,CHEMICALS,AUTO_V2,2026-06-06
MANAPPURAM,Manappuram Finance Limited,NBFC,AUTO_V2,2026-06-06
MANGLMCEM,Mangalam Cement Limited,CEMENT,AUTO_V2,2026-06-06
MANINFRA,Man Infraconstruction Limited,CONSTRUCTION,AUTO_V2,2026-06-06
MANKIND,Mankind Pharma Limited,PHARMA,AUTO_V2,2026-06-06
MANORAMA,Manorama Industries Limited,INDUSTRIAL_MANUFACTURING,AUTO_V2,2026-06-06
MANYAVAR,Vedant Fashions Limited,RETAIL,AUTO_V2,2026-06-06
MARATHON,Marathon Nextgen Realty Limited,REALTY,AUTO_V2,2026-06-06
MARKOLINES,Markolines Pavement Technologies Limited,IT,AUTO_V2,2026-06-06
MARKSANS,Marksans Pharma Limited,PHARMA,AUTO_V2,2026-06-06
MARUTI,Maruti Suzuki India Limited,AUTO,AUTO_V2,2026-06-06
MASFIN,MAS Financial Services Limited,FINANCIAL_SERVICES,AUTO_V2,2026-06-06
MASTEK,Mastek Limited,IT,AUTO_V2,2026-06-06
MAXHEALTH,Max Healthcare Institute Limited,HEALTHCARE,AUTO_V2,2026-06-06
MAZDOCK,Mazagon Dock Shipbuilders Limited,DEFENCE,AUTO_V2,2026-06-06
MBEL,M & B Engineering Limited,CAPITAL_GOODS,AUTO_V2,2026-06-06
