SYMBOL,COMPANY_NAME,STATUS
FEDDERSHOL,Fedders Holding Limited,PENDING
FERMENTA,Fermenta Biotech Limited,PENDING
FIBERWEB,Fiberweb (India) Limited,PENDING
FILATEX,Filatex India Limited,PENDING
FIRSTCRY,Brainbees Solutions Limited,PENDING
FISCHER,Fischer Medical Ventures Limited,PENDING
FIVESTAR,Five-Star Business Finance Limited,PENDING
FLEXITUFF,Flexituff Ventures International Limited,PENDING
FMGOETZE,Federal-Mogul Goetze (India) Limited.,PENDING
FOCUS,Focus Lighting and Fixtures Limited,PENDING
FOODSIN,Foods & Inns Limited,PENDING
FOSECOIND,Foseco India Limited,PENDING
FRACTAL,Fractal Analytics Limited,PENDING
FRONTSP,Frontier Springs Limited,PENDING
FSL,Firstsource Solutions Limited,PENDING
FUSION,Fusion Finance Limited,PENDING
GAEL,Gujarat Ambuja Exports Limited,PENDING
GALAXYSURF,Galaxy Surfactants Limited,PENDING
GALLANTT,Gallantt Ispat Limited,PENDING
GANDHAR,Gandhar Oil Refinery (India) Limited,PENDING
GANDHITUBE,Gandhi Special Tubes Limited,PENDING
GANECOS,Ganesha Ecosphere Limited,PENDING
GANESHBE,Ganesh Benzoplast Limited,PENDING
GANESHCP,Ganesh Consumer Products Limited,PENDING
GANESHHOU,GANESH HOUSING LIMITED,PENDING
GANGAFORGE,Ganga Forging Limited,PENDING
GARFIBRES,Garware Technical Fibres Limited,PENDING
GATEWAY,Gateway Distriparks Limited,PENDING
GAYAHWS,Gayatri Highways Limited,PENDING
GCSL,Gretex Corporate Services Limited,PENDING
GEECEE,GeeCee Ventures Limited,PENDING
GENCON,Generic Engineering Construction and Projects Limited,PENDING
GENESYS,Genesys International Corporation Limited,PENDING
GENUSPAPER,Genus Paper & Boards Limited,PENDING
GENUSPOWER,Genus Power Infrastructures Limited,PENDING
GESHIP,The Great Eastern Shipping Company Limited,PENDING
GFLLIMITED,GFL Limited,PENDING
GHCL,GHCL Limited,PENDING
GHCLTEXTIL,GHCL Textiles Limited,PENDING
GICL,Globe International Carriers Limited,PENDING
GILLANDERS,Gillanders Arbuthnot & Company Limited,PENDING
GINNIFILA,Ginni Filaments Limited,PENDING
GIPCL,Gujarat Industries Power Company Limited,PENDING
GKSL,Gujarat Kidney And Super Speciality Limited,PENDING
GKWLIMITED,GKW Limited,PENDING
GLOBAL,Global Education Limited,PENDING
GLOBALVECT,Global Vectra Helicorp Limited,PENDING
GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,PENDING
GLOBUSSPR,Globus Spirits Limited,PENDING
GLOSTERLTD,Gloster Limited,PENDING
GMBREW,GM Breweries Limited,PENDING
GMDCLTD,Gujarat Mineral Development Corporation Limited,PENDING
GMMPFAUDLR,GMM Pfaudler Limited,PENDING
