symbol,opm_pct,roce_pct,book_value_per_share,total_equity_cr,equity_share_capital_cr,capital_employed_cr,ebitda_cr_latest,ebit_cr_latest,sales_growth_cagr_pct,sales_growth_years,as_of_date,data_quarters
TIL,8.19,7.6,15.78,111.02,,248.55,6.48,4.72,-1.29,4.3,2024-12-31,18
TIMESGTY,81.31,,,,,,0.6916,0.6916,16.68,4.3,2024-12-31,18
TIMETECHNO,14.96,5.66,82.82,4088.3,,4557.73,91.25,64.53,15.8,4.3,2024-12-31,18
TIMKEN,17.86,13.15,387.48,2914.57,,3003.71,119.886,98.784,13.48,4.3,2024-12-31,18
TINPLATE,1.92,,,,,,18.0988,0.4373,16.78,2.7,2023-09-30,12
TIPSFILMS,-199.73,-24.14,69.14,29.89,,32.5,-1.7588,-1.9613,-71.69,2.3,2024-12-31,11
TIPSINDLTD,79.76,,,,,,58.9576,58.4104,49.27,3.7,2024-06-30,17
TIPSMUSIC,76.9,89.3,20.34,259.95,,265.09,59.7299,59.1841,,,2024-12-31,2
TIRUMALCHM,-4.48,-4.14,129.7,1563.6,,3439.26,-20.02,-35.56,12.79,4.3,2024-12-31,20
TIRUPATIFL,11.47,5.04,,133.4,,163.61,2.999,2.0614,37.79,4.3,2024-12-31,18
TITAGARH,13.58,16.4,182.35,2455.76,,2834.62,122.56,116.2,-0.63,1.5,2024-12-31,8
TITAN,10.16,31.34,177.03,15703.0,,20768.0,1802.0,1627.0,39.42,4.3,2024-12-31,18
TMRVL,-110.66,,,,,,-1.0239,-1.0343,999.0,1.7,2022-03-31,8
TNPETRO,5.27,5.68,113.11,1017.68,,1259.89,24.26,17.89,11.96,4.3,2024-12-31,18
TNPL,5.84,-1.19,334.63,2315.98,,3605.13,65.75,-10.7,16.09,4.3,2024-12-31,17
TNTELE,,,,,,,,,,,2024-12-31,15
TOKYOPLAST,6.45,2.4,65.98,62.69,,78.49,1.2294,0.4715,4.73,4.3,2024-12-31,18
TOLINS,19.79,14.56,91.43,361.24,,362.51,13.803,13.195,-16.35,0.5,2024-12-31,3
TORNTPHARM,33.71,8.32,247.85,8388.43,,35968.63,947.0,748.0,8.1,4.3,2024-12-31,20
TORNTPOWER,19.75,10.21,378.55,19075.33,,35480.19,1283.5,905.98,18.76,4.3,2024-12-31,19
TOTAL,3.37,19.26,56.1,90.47,,100.39,5.8909,4.8331,26.39,4.3,2024-12-31,18
TOUCHWOOD,12.79,36.7,39.81,44.11,,48.24,4.6188,4.4257,161.69,4.3,2024-12-31,17
TPHQ,0.67,1.84,1.24,136.1,,136.38,0.6304,0.6257,-17.57,1.3,2024-12-31,7
TPLPLASTEH,12.06,21.34,21.65,168.9,,180.56,10.9776,9.6347,19.07,4.3,2024-12-31,17
TRACXN,9.11,12.86,4.92,52.55,,59.44,1.9496,1.9114,5.14,2.3,2024-12-31,10
TRANSRAILL,14.42,29.16,169.92,2281.29,,2457.58,193.27,179.15,,,2024-12-31,2
TRANSWORLD,38.25,10.17,306.84,673.77,,925.29,44.7597,23.5297,,,2024-12-31,2
TREEHOUSE,12.77,0.15,42.71,180.71,,187.9,0.24,0.07,30.31,4.3,2024-12-31,18
TREJHARA,29.89,1.27,123.38,297.55,,300.19,1.9201,0.9533,-16.91,4.3,2024-12-31,19
TREL,77.69,4.08,52.07,1279.26,,1340.66,18.18,13.68,-4.77,1.3,2024-12-31,6
TRENT,19.35,30.81,130.99,6984.68,,8517.59,901.01,656.08,62.86,4.3,2024-12-31,18
TRF,66.58,24.83,76.67,84.37,,239.57,15.5192,14.8686,-1.55,4.3,2024-12-31,19
TRIDENT,13.74,9.2,9.36,4771.42,,5934.15,229.0,136.44,6.35,4.0,2024-12-31,18
TRIGYN,1.82,1.35,258.79,796.72,,812.51,3.7671,2.7385,74.96,4.3,2024-12-31,18
TRIL,13.65,,,,,,42.53,36.25,16.62,3.7,2024-06-30,17
TRITURBINE,26.1,33.51,45.49,1446.0,,1491.0,131.4,124.9,26.49,4.3,2024-12-31,18
TRIVENI,7.28,8.43,152.71,3342.83,,3899.78,112.67,82.23,7.68,4.3,2024-12-31,18
TRU,54.07,26.5,4.29,51.0,,389.72,27.8766,25.8176,22.53,1.5,2024-12-31,7
TTKHLTCARE,12.47,8.34,789.0,1114.85,,1122.51,25.5276,23.4168,6.02,4.3,2024-12-31,17
TTKPRESTIG,13.51,14.43,137.19,1878.82,,2057.67,90.06,74.23,3.18,4.3,2024-12-31,20
TTL,5.22,6.89,4.84,125.11,,153.53,2.9512,2.6441,-12.31,4.3,2024-12-31,15
TTML,45.47,,,,,,151.32,108.14,6.3,4.3,2024-12-31,19
TULSI,-4.33,-18.98,,36.9,,37.0,-0.5141,-1.7554,-26.31,0.5,2024-12-31,3
TV18BRDCST,1.64,,,,,,50.45,-18.36,34.42,3.7,2024-06-30,18
TVSELECT,3.98,0.66,51.45,95.95,,108.56,3.98,0.18,12.47,4.3,2024-12-31,18
TVSHLTD,16.28,12.41,3195.79,6465.73,,51557.84,1865.54,1599.93,7.44,1.3,2024-12-31,6
TVSMOTOR,15.54,24.0,201.37,9564.25,,24432.94,1730.06,1466.14,19.32,4.3,2024-12-31,19
TVSSCS,14.04,2.8,46.09,2033.5,,3528.15,67.03,24.73,-3.18,1.5,2024-12-31,8
TVSSRICHAK,4.95,1.97,1554.37,1190.18,,1631.32,39.71,8.04,9.19,4.3,2024-12-31,18
TVTODAY,9.36,5.6,149.3,890.86,,911.07,22.16,12.75,7.12,4.3,2024-12-31,18
TVVISION,-27.71,,,,,,-2.6945,-6.4268,-12.85,4.3,2024-12-31,18
TWL,11.47,,,,,,69.621,64.3135,19.82,2.0,2022-09-30,9
UBL,2.84,5.54,171.03,4522.1,,4659.42,125.86,64.52,17.38,4.3,2024-12-31,20
UCAL,12.34,13.27,147.49,326.16,,437.4,25.0937,14.5095,6.73,1.5,2024-12-31,6
UCALFUEL,3.57,,,,,,6.6234,-3.0282,0.13,2.5,2023-03-31,10
UDAICEMENT,16.38,,,,,,60.5,34.61,8.08,0.8,2024-12-31,5
UDS,7.47,13.42,157.17,1052.33,,1187.12,51.8946,39.8216,13.21,1.5,2024-12-31,7
UEL,87.12,31.35,6.65,88.67,,89.18,7.116,6.9887,26.5,0.8,2024-12-31,4
UFLEX,13.09,4.69,1124.82,8122.42,,14756.03,253.75,172.88,12.91,4.3,2024-12-31,18
UFO,23.76,20.86,83.78,325.19,,445.15,32.95,23.21,80.16,4.3,2024-12-31,19
UGARSUGAR,8.25,20.47,20.77,233.68,,308.6,22.6749,15.7934,5.69,4.3,2024-12-31,18
UGROCAP,62.72,9.24,190.16,2906.02,,9538.4,232.765,220.2733,75.91,3.5,2024-12-31,15
UJAAS,323.9,,,,,,18.9242,17.1205,-5.53,3.2,2023-12-31,13
UJJIVAN,65.68,,,,,,1034.9691,986.1594,23.49,3.2,2023-12-31,13
ULTRACEMCO,18.28,7.91,2604.74,76623.54,,107544.35,2984.39,2127.88,7.44,4.0,2024-12-31,18
UMAEXPORTS,1.13,10.91,58.19,196.75,,199.28,5.5976,5.4369,11.98,2.8,2024-12-31,12
UMANGDAIRY,5.7,,,,,,3.4908,2.4192,-0.38,4.3,2024-12-31,18
UMESLTD,157.33,42.48,0.65,1.71,,1.71,0.1825,0.1816,-9.35,4.3,2024-12-31,18
UNICHEMLAB,20.8,9.07,385.97,2717.44,,2851.5,93.14,64.69,8.42,4.3,2024-12-31,19
