symbol,index_names,index_slugs,sector_hints,index_count,dominant_sector_hint,last_updated
RAINBOW,NIFTY 500|NIFTY MIDSMALLCAP 400|NIFTY SMALLCAP 250,nifty_500|nifty_midsmallcap_400|nifty_smallcap_250,,3,,2026-06-30
RAMCOCEM,NIFTY 500|NIFTY MIDSMALLCAP 400|NIFTY SMALLCAP 100|NIFTY SMALLCAP 250,nifty_500|nifty_midsmallcap_400|nifty_smallcap_100|nifty_smallcap_250,,4,,2026-06-30
RBLBANK,NIFTY 500|NIFTY MIDSMALLCAP 400|NIFTY SMALLCAP 100|NIFTY SMALLCAP 250,nifty_500|nifty_midsmallcap_400|nifty_smallcap_100|nifty_smallcap_250,,4,,2026-06-30
RECLTD,NIFTY 100|NIFTY 200|NIFTY 500|NIFTY FINANCIAL SERVICES 25/50|NIFTY LARGEMIDCAP 250|NIFTY NEXT 50|NIFTY PSE,nifty_100|nifty_200|nifty_500|nifty_financial_services_25_50|nifty_largemidcap_250|nifty_next_50|nifty_pse,FINANCIAL_SERVICES,7,FINANCIAL_SERVICES,2026-06-30
REDINGTON,NIFTY 500|NIFTY MIDSMALLCAP 400|NIFTY SMALLCAP 100|NIFTY SMALLCAP 250,nifty_500|nifty_midsmallcap_400|nifty_smallcap_100|nifty_smallcap_250,,4,,2026-06-30
RELIANCE,NIFTY 100|NIFTY 200|NIFTY 50|NIFTY 500|NIFTY COMMODITIES|NIFTY ENERGY|NIFTY LARGEMIDCAP 250|NIFTY OIL & GAS,nifty_100|nifty_200|nifty_50|nifty_500|nifty_commodities|nifty_energy|nifty_largemidcap_250|nifty_oil_gas,ENERGY,8,ENERGY,2026-06-30
RHIM,NIFTY 500|NIFTY MIDSMALLCAP 400|NIFTY SMALLCAP 250,nifty_500|nifty_midsmallcap_400|nifty_smallcap_250,,3,,2026-06-30
RITES,NIFTY 500|NIFTY MIDSMALLCAP 400|NIFTY SMALLCAP 250,nifty_500|nifty_midsmallcap_400|nifty_smallcap_250,,3,,2026-06-30
RKFORGE,NIFTY 500|NIFTY MIDSMALLCAP 400|NIFTY SMALLCAP 250,nifty_500|nifty_midsmallcap_400|nifty_smallcap_250,,3,,2026-06-30
RPOWER,NIFTY 500|NIFTY ENERGY|NIFTY MIDSMALLCAP 400|NIFTY SMALLCAP 100|NIFTY SMALLCAP 250,nifty_500|nifty_energy|nifty_midsmallcap_400|nifty_smallcap_100|nifty_smallcap_250,ENERGY,5,ENERGY,2026-06-30
