"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 29-May-2026","1W AGO 
 22-May-2026","1M AGO 
 29-Apr-2026","1Y AGO 
 29-May-2025","52W H 
","52W L 
","30 D % CHNG 
","365 D % CHNG 
"
"NIFTY ALPHA LOW-VOLATILITY 30","25,410.50","0.14","25,456.90","25,545.70","25,342.85","-","25,375.60","25,410.50","25,679.05","25,894.20","26,365.50","-","-",-1.87,-4.24
"NIFTY200 MOMENTUM 30","30,013.05","-0.10","30,139.20","30,316.05","29,893.55","-","30,043.20","30,013.05","30,460.80","30,412.10","30,738.45","-","-",-1.31,-3.45
"NIFTY MIDCAP150 QUALITY 50","23,628.55","-0.28","23,826.00","23,850.20","23,571.50","-","23,695.00","23,628.55","23,786.45","23,496.60","24,530.95","-","-",0.56,-4.13
"NIFTY200 ALPHA 30","25,604.05","-0.05","25,711.45","25,851.70","25,458.65","-","25,615.80","25,604.05","26,014.95","25,346.55","24,686.90","-","-",1.02,2.49
"NIFTY MIDCAP150 MOMENTUM 50","62,241.75","-0.18","62,652.10","62,862.10","61,976.25","-","62,356.55","62,241.75","63,420.95","61,741.10","61,947.90","-","-",0.81,-0.35
"NIFTY500 MOMENTUM 50","52,409.60","-0.19","52,692.05","52,905.25","52,166.70","-","52,510.20","52,409.60","53,062.80","52,338.55","53,097.10","-","-",0.14,-2.63
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","49,848.55","-0.66","50,391.20","50,477.40","49,625.45","-","50,179.10","49,848.55","50,771.70","49,804.55","50,103.30","-","-",0.09,-1.56
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","44,863.30","-0.31","45,136.25","45,207.90","44,676.65","-","45,004.10","44,863.30","44,962.15","44,590.45","46,660.80","-","-",0.61,-4.97
"NIFTY TOP 10 EQUAL WEIGHT","8,378.45","-0.33","8,440.75","8,457.55","8,355.25","-","8,406.00","8,378.45","8,474.40","8,640.45","9,628.00","-","-",-3.03,-13.27
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","22,000.30","0.09","22,061.55","22,078.05","21,931.25","-","21,979.65","22,000.30","22,281.40","22,415.45","22,140.50","-","-",-1.85,-1
"NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30","19,667.20","-0.14","19,736.80","19,751.35","19,593.05","-","19,694.15","19,667.20","19,802.65","20,120.65","20,198.55","-","-",-2.25,-3.26
"NIFTY HIGH BETA 50","4,216.90","0.21","4,224.70","4,250.80","4,176.30","-","4,208.15","4,216.90","4,254.35","4,149.90","3,743.80","-","-",1.61,12.48
"NIFTY LOW VOLATILITY 50","23,767.80","-0.11","23,861.05","23,895.40","23,701.05","-","23,794.05","23,767.80","24,083.40","24,307.55","24,621.05","-","-",-2.22,-3.73
"NIFTY QUALITY LOW-VOLATILITY 30","15,960.50","-0.14","16,043.25","16,049.70","15,925.85","-","15,983.40","15,960.50","16,093.20","16,379.65","16,922.60","-","-",-2.56,-5.92
"NIFTY SMALLCAP250 QUALITY 50","24,415.50","0.04","24,476.85","24,603.80","24,366.95","-","24,405.70","24,415.50","24,825.65","25,107.20","27,410.70","-","-",-2.75,-11.98
"NIFTY TOP 15 EQUAL WEIGHT","9,403.95","0.07","9,434.80","9,462.90","9,373.60","-","9,397.25","9,403.95","9,495.70","9,815.65","10,135.05","-","-",-4.19,-7.37
"NIFTY100 ALPHA 30","17,856.85","-0.09","17,931.90","17,973.70","17,767.20","-","17,872.25","17,856.85","18,015.50","17,840.35","17,711.70","-","-",0.09,-0.05
"NIFTY200 VALUE 30","15,384.05","-0.43","15,470.75","15,508.20","15,296.90","-","15,450.10","15,384.05","15,471.95","15,541.95","12,821.25","-","-",-1.02,20.03
"NIFTY500 EQUAL WEIGHT","14,297.35","-0.03","14,354.00","14,387.10","14,245.30","-","14,301.50","14,297.35","14,328.30","14,309.65","14,216.80","-","-",-0.09,0
"NIFTY500 MULTICAP MOMENTUM QUALITY 50","41,542.50","-0.63","41,944.25","42,023.20","41,332.45","-","41,804.55","41,542.50","42,472.00","42,071.05","42,420.30","-","-",-1.26,-2.97
"NIFTY500 VALUE 50","16,487.10","-0.64","16,615.35","16,645.50","16,391.50","-","16,592.60","16,487.10","16,576.70","16,618.30","13,835.35","-","-",-0.79,19.22
"NIFTY TOP 20 EQUAL WEIGHT","8,364.65","0.03","8,394.45","8,411.90","8,335.40","-","8,362.20","8,364.65","8,436.65","8,701.80","9,031.85","-","-",-3.87,-7.57
"NIFTY500 QUALITY 50","19,471.90","-0.77","19,701.45","19,738.85","19,380.40","-","19,623.50","19,471.90","19,788.05","19,633.70","19,515.70","-","-",-0.82,-0.94
"NIFTY500 LOW VOLATILITY 50","21,649.35","-0.09","21,722.15","21,759.25","21,585.30","-","21,669.00","21,649.35","21,862.95","22,195.20","21,151.20","-","-",-2.46,2.31
"NIFTY500 MULTIFACTOR MQVLV 50","30,480.15","-0.13","30,615.80","30,656.55","30,381.80","-","30,519.40","30,480.15","30,747.00","31,168.95","30,873.70","-","-",-2.21,-1.61
