symbol,company_name,industry_nse,index_name,index_slug,sector_hint,downloaded_date
MARICO,Marico Ltd.,Fast Moving Consumer Goods,NIFTY 200,nifty_200,,2026-06-30
MARUTI,Maruti Suzuki India Ltd.,Automobile and Auto Components,NIFTY 200,nifty_200,,2026-06-30
MFSL,Max Financial Services Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
MAXHEALTH,Max Healthcare Institute Ltd.,Healthcare,NIFTY 200,nifty_200,,2026-06-30
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,NIFTY 200,nifty_200,,2026-06-30
MOTILALOFS,Motilal Oswal Financial Services Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
MPHASIS,MphasiS Ltd.,Information Technology,NIFTY 200,nifty_200,,2026-06-30
MCX,Multi Commodity Exchange of India Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
MUTHOOTFIN,Muthoot Finance Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
NHPC,NHPC Ltd.,Power,NIFTY 200,nifty_200,,2026-06-30
NMDC,NMDC Ltd.,Metals & Mining,NIFTY 200,nifty_200,,2026-06-30
NTPC,NTPC Ltd.,Power,NIFTY 200,nifty_200,,2026-06-30
NATIONALUM,National Aluminium Co. Ltd.,Metals & Mining,NIFTY 200,nifty_200,,2026-06-30
NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods,NIFTY 200,nifty_200,,2026-06-30
OBEROIRLTY,Oberoi Realty Ltd.,Realty,NIFTY 200,nifty_200,,2026-06-30
ONGC,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTY 200,nifty_200,,2026-06-30
OIL,Oil India Ltd.,Oil Gas & Consumable Fuels,NIFTY 200,nifty_200,,2026-06-30
PAYTM,One 97 Communications Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
OFSS,Oracle Financial Services Software Ltd.,Information Technology,NIFTY 200,nifty_200,,2026-06-30
POLICYBZR,PB Fintech Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
PIIND,PI Industries Ltd.,Chemicals,NIFTY 200,nifty_200,,2026-06-30
PAGEIND,Page Industries Ltd.,Textiles,NIFTY 200,nifty_200,,2026-06-30
PATANJALI,Patanjali Foods Ltd.,Fast Moving Consumer Goods,NIFTY 200,nifty_200,,2026-06-30
PERSISTENT,Persistent Systems Ltd.,Information Technology,NIFTY 200,nifty_200,,2026-06-30
PHOENIXLTD,Phoenix Mills Ltd.,Realty,NIFTY 200,nifty_200,,2026-06-30
PIDILITIND,Pidilite Industries Ltd.,Chemicals,NIFTY 200,nifty_200,,2026-06-30
POLYCAB,Polycab India Ltd.,Capital Goods,NIFTY 200,nifty_200,,2026-06-30
PFC,Power Finance Corporation Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
POWERGRID,Power Grid Corporation of India Ltd.,Power,NIFTY 200,nifty_200,,2026-06-30
PREMIERENE,Premier Energies Ltd.,Capital Goods,NIFTY 200,nifty_200,,2026-06-30
PRESTIGE,Prestige Estates Projects Ltd.,Realty,NIFTY 200,nifty_200,,2026-06-30
PNB,Punjab National Bank,Financial Services,NIFTY 200,nifty_200,,2026-06-30
RECLTD,REC Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
RADICO,Radico Khaitan Ltd,Fast Moving Consumer Goods,NIFTY 200,nifty_200,,2026-06-30
RVNL,Rail Vikas Nigam Ltd.,Construction,NIFTY 200,nifty_200,,2026-06-30
RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,NIFTY 200,nifty_200,,2026-06-30
SBICARD,SBI Cards and Payment Services Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
SRF,SRF Ltd.,Chemicals,NIFTY 200,nifty_200,,2026-06-30
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,NIFTY 200,nifty_200,,2026-06-30
SHREECEM,Shree Cement Ltd.,Construction Materials,NIFTY 200,nifty_200,,2026-06-30
SHRIRAMFIN,Shriram Finance Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
ENRIN,Siemens Energy India Ltd.,Capital Goods,NIFTY 200,nifty_200,,2026-06-30
SIEMENS,Siemens Ltd.,Capital Goods,NIFTY 200,nifty_200,,2026-06-30
SOLARINDS,Solar Industries India Ltd.,Chemicals,NIFTY 200,nifty_200,,2026-06-30
SBIN,State Bank of India,Financial Services,NIFTY 200,nifty_200,,2026-06-30
SAIL,Steel Authority of India Ltd.,Metals & Mining,NIFTY 200,nifty_200,,2026-06-30
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare,NIFTY 200,nifty_200,,2026-06-30
SUPREMEIND,Supreme Industries Ltd.,Capital Goods,NIFTY 200,nifty_200,,2026-06-30
SUZLON,Suzlon Energy Ltd.,Capital Goods,NIFTY 200,nifty_200,,2026-06-30
SWIGGY,Swiggy Ltd.,Consumer Services,NIFTY 200,nifty_200,,2026-06-30
TVSMOTOR,TVS Motor Company Ltd.,Automobile and Auto Components,NIFTY 200,nifty_200,,2026-06-30
TATACAP,Tata Capital Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
