TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-06-05,2026-06-05,CM,BSE,STK,590031,INE244A01016,DENORA,B,,,,,DE NORA INDIA LTD.,734.80,792.90,734.80,776.25,760.60,724.00,,765.70,,,1550,1180928.00,300,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590041,INE641C01019,KAVDEFENCE,B,,,,,Kavveri Defence &amp; Wireless,66.63,66.63,61.50,61.80,61.72,63.23,,61.72,,,27348,1731589.00,451,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590051,INE667G01023,SAKSOFT,B,,,,,SAKSOFT LTD.,144.00,145.40,142.20,143.35,143.00,142.10,,143.23,,,9110,1311427.00,215,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590056,INE498E01010,SALONA,B,,,,,SALONA COTSPIN LTD.,283.00,283.00,283.00,283.00,283.00,285.00,,279.80,,,1,283.00,1,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590057,INE217G01035,EQUIPPP,T,,,,,EQUIPPP SOCIAL IMPACT TECHNOLO,17.10,17.10,16.34,16.34,16.34,17.20,,16.37,,,3564,58296.00,14,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590062,INE715B01021,ANDHRSUGAR,B,,,,,ANDHRA SUGARS LTD.,79.45,80.95,79.00,79.54,79.80,79.44,,79.28,,,8598,686916.00,176,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590065,INE547E01014,IMPAL,B,,,,,INDIA MOTOR PARTS & ACCESSORIE,1054.70,1119.00,1054.70,1073.00,1073.00,1094.95,,1069.30,,,43,46213.00,21,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590066,INE805C01028,KCP,B,,,,,K.C.P.LTD.,160.45,161.90,158.45,161.30,158.45,159.90,,160.31,,,1490,239150.00,74,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590068,INE731C01018,KHAITANLTD,T,,,,,KHAITAN (INDIA) LTD.,132.25,132.25,131.90,132.00,132.00,129.65,,131.63,,,151,19944.00,5,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590070,INE874F01027,RADAAN,B,,,,,RADAAN MEDIAWORKS (I) LTD.,3.03,3.28,3.00,3.10,3.10,3.03,,3.03,,,10573,32079.00,24,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590071,INE660A01013,SUNDARMFIN,B,,,,,SUNDARAM FINANCE LTD.,4148.95,4200.00,4090.95,4106.10,4120.90,4100.40,,4105.40,,,3920,16165443.00,2102,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590072,INE073D01013,SUNDRMBRAK,B,,,,,SUNDARAM BRAKE LININGS LTD.,717.40,762.30,713.00,727.95,762.30,682.00,,728.75,,,314,224754.00,62,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590073,INE715A01015,WHEELS,B,,,,,WHEELS INDIA LTD.,1553.70,1615.00,1463.00,1488.60,1481.40,1527.85,,1487.70,,,5944,9168543.00,624,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590075,INE112F01022,LAMBODHARA,B,,,,,LAMBODHARA TEXTILES LTD.,107.80,110.20,107.10,107.40,107.10,107.70,,107.68,,,1438,157006.00,44,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590078,INE683C01011,MAITHANALL,B,,,,,MAITHAN ALLOYS LTD.,1052.05,1052.05,1006.25,1010.05,1010.25,1035.80,,1009.00,,,1852,1877125.00,144,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590086,INE725E01024,ORISSAMINE,B,,,,,ORISSA MINERALS DEVELOPMENT CO,4178.00,4178.50,4050.00,4083.75,4050.00,4132.90,,4077.50,,,478,1973465.00,143,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590095,INF204KB17I5,GOLDBEES,E,,,,,NIPPON INDIA ETF GOLD BEES,129.76,129.76,126.33,127.80,127.80,128.48,,127.78,,,1082569,138250716.00,7115,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590096,INF732E01037,LIQUIDBEES,F,,,,,NIPPON INDIA ETF LIQUID BEES,999.99,1000.01,999.99,1000.00,1000.00,1000.00,,1000.00,,,213492,213491876.00,656,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590097,INF174KA1HJ8,GOLD1,E,,,,,KOTAK MAHINDRA MUTUAL FUND - K,128.40,129.44,128.20,128.64,128.52,129.70,,128.65,,,47570,6120847.00,678,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590098,INF200KA16D8,SETFGOLD,E,,,,,SBI MUTUAL FUND - SBI GOLD EXC,135.84,135.84,131.10,131.80,131.82,132.53,,131.81,,,1454587,191413518.00,3301,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590099,INF082J01408,QGOLDHALF,E,,,,,QUANTUM GOLD FUND - EXCHANGE T,128.10,128.22,127.33,127.95,127.98,128.84,,127.95,,,4571,584132.00,169,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590101,INF789F1AUX7,GOLDBETA,E,,,,,UTI MUTUAL FUND - UTI GOLD EXC,131.00,131.00,129.60,130.01,130.04,130.68,,130.05,,,35779,4648338.00,251,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590103,INF204KB14I2,NIFTYBEES,B,,,,,NIPPON INDIA ETF NIFTY BEES,265.62,269.30,264.05,265.43,265.43,265.62,,265.36,,,280468,74529398.00,5139,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590104,INF732E01045,JUNIORBEES,B,,,,,NIPPON INDIA ETF JUNIOR BEES,757.49,761.50,753.45,757.92,757.59,756.15,,757.76,,,13104,9938629.00,925,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590106,INF204KB15I9,BANKBEES,B,,,,,NIPPON INDIA ETF BANK BEES,561.27,566.01,559.51,563.20,563.21,561.26,,563.08,,,28785,16211737.00,1120,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590107,INF373I01023,PSUBANK,B,,,,,KOTAK MAHINDRA MUTUAL FUND - K,825.10,835.05,824.45,827.23,825.12,823.05,,828.73,,,412,341418.00,54,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590108,INF204KB16I7,PSUBNKBEES,B,,,,,NIPPON INDIA ETF PSU BANK BEES,92.06,93.43,91.81,92.26,92.25,92.07,,92.28,,,230521,21377429.00,696,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590109,INF732E01128,SHARIABEES,B,,,,,NIPPON INDIA ETF SHARIAH BEES,462.16,462.57,458.65,459.85,460.00,462.16,,459.63,,,1125,517573.00,85,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590110,INF082J01499,QNIFTY,B,,,,,Quantum Nifty 50 ETF,257.00,257.80,256.00,256.00,256.00,256.70,,256.25,,,347,89097.00,23,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590113,INF204KB19I1,HNGSNGBEES,E,,,,,NIPPON INDIA ETF HANG SENG BEE,505.69,510.11,498.06,501.90,503.19,510.84,,501.74,,,17741,8919551.00,1349,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590115,INF247L01536,MOM50,B,,,,,MOTILAL OSWAL MUTUAL FUND,245.17,245.17,243.50,244.00,244.00,244.53,,243.68,,,171,41850.00,14,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590134,INE414A01015,MADRASFERT,B,,,,,Madras Fertilizer Limited,68.02,70.84,68.02,68.80,68.95,69.85,,68.86,,,10196,711330.00,114,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590136,INF174KA1ZB7,BANKNIFTY1,B,,,,,Kotak Mahindra Mutual Fund - P,56.44,56.94,56.00,56.53,56.56,56.65,,56.43,,,22106,1247228.00,191,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590137,INF200KA1580,SETFNIFBK,B,,,,,SBI Mutual Fund-Permitted,557.00,561.89,555.01,559.51,559.78,556.29,,558.66,,,2167,1211700.00,75,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,590138,INF200KA1FS1,SETFNIF50,B,,,,,SBI Mutual Fund-Permitted,251.43,251.99,249.90,250.80,250.60,251.11,,250.84,,,31213,7826896.00,495,F1,1,,,,,
