symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
MALUPAPER,EQ,-,10,Annual General Meeting,17-Sep-2009,-,21-Sep-2009,29-Sep-2009,-,Malu Paper Mills Limited,INE383H01017,-,
VGL,EQ,-,10,Annual General Meeting,17-Sep-2009,-,21-Sep-2009,30-Sep-2009,-,VARVEE GLOBAL LIMITED,INE273D01019,-,
SUPPETRO,EQ,-,10,Dividend-Re.1/- Per Share,17-Sep-2009,-,22-Sep-2009,06-Oct-2009,-,Supreme Petrochem Limited,INE663A01017,-,
REIAGROLTD,EQ,-,1,Agm/Div-Re.0.10 Per Share,17-Sep-2009,-,22-Sep-2009,22-Sep-2009,-,Rei Agro Limited,INE385B01031,-,
REISIXTEN,EQ,-,2,Agm/Div-Re.1/- Per Share,17-Sep-2009,-,22-Sep-2009,22-Sep-2009,-,REI Six Ten Retail Limited,INE849J01021,-,
VIJSHAN,EQ,-,10,Dividend-Re.0.40 Pr Share,17-Sep-2009,-,19-Sep-2009,30-Sep-2009,-,Vijay Shanthi Builders Limited,INE806F01011,-,
BLBLIMITED,EQ,-,1,Agm/Div-Re.0.10 Per Share,17-Sep-2009,-,22-Sep-2009,22-Sep-2009,-,BLB Limited,INE791A01024,-,
CONSOFINVT,EQ,-,10,Dividend-Re.0.50 Pr Share,17-Sep-2009,-,22-Sep-2009,25-Sep-2009,-,Consolidated Finvest & Holdings Limited,INE025A01027,-,
RUCHINFRA,EQ,-,1,Agm/Div-Re.0.06 Per Share,17-Sep-2009,-,22-Sep-2009,30-Sep-2009,-,Ruchi Infrastructure Limited,INE413B01023,-,
COMSYS,EQ,-,10,Annual General Meeting,17-Sep-2009,-,19-Sep-2009,25-Sep-2009,-,Compulink Systems Limited,INE206H01010,-,
GMDCLTD,EQ,-,2,Agm/Div-Rs.2/- Per Share,17-Sep-2009,-,21-Sep-2009,29-Sep-2009,-,Gujarat Mineral Development Corporation Limited,INE131A01031,-,
GUJRATGAS,EQ,-,2,Bonus 1:1,17-Sep-2009,19-Sep-2009,-,-,-,Gujarat Gas Company Limited,INE374A01029,-,
IMPEXFERRO,EQ,-,10,Agm/Rights 1:1 Prem@Rs.6 Purpose Revised,17-Sep-2009,-,19-Sep-2009,24-Sep-2009,-,Impex Ferro Tech Limited,INE691G01015,-,
RELIGARE,EQ,-,10,Annual General Meeting,17-Sep-2009,-,22-Sep-2009,25-Sep-2009,-,Religare Enterprises Limited,INE621H01010,-,
PVP,EQ,-,10,Annual General Meeting,18-Sep-2009,-,23-Sep-2009,30-Sep-2009,-,PVP Ventures Limited,INE362A01016,-,
STARPAPER,EQ,-,10,Agm/Div-Rs.1.50 Per Share,18-Sep-2009,-,23-Sep-2009,30-Sep-2009,-,Star Paper Mills Limited,INE733A01018,-,
RAJRAYON,EQ,-,1,Annual General Meeting,18-Sep-2009,-,23-Sep-2009,30-Sep-2009,-,Raj Rayon Industries Limited,INE533D01016,-,
SURYAJYOTI,EQ,-,10,Annual General Meeting,18-Sep-2009,-,23-Sep-2009,26-Sep-2009,-,Suryajyoti Spinning Mills Limited,INE411C01017,-,
PFOCUS,EQ,-,1,Annual General Meeting,18-Sep-2009,-,23-Sep-2009,25-Sep-2009,-,Prime Focus Limited,INE367G01020,-,
PRIMESECU,EQ,-,5,Annual General Meeting,18-Sep-2009,-,23-Sep-2009,29-Sep-2009,-,Prime Securities Limited,INE032B01021,-,
NAHARINDUS,EQ,-,10,Agm/Div-Re.1/- Per Share,18-Sep-2009,-,23-Sep-2009,30-Sep-2009,-,Nahar Industrial Enterprises Limited,INE289A01011,-,
MICROTECH,EQ,-,10,Agm/Div-Re.1/- Per Share,18-Sep-2009,-,23-Sep-2009,30-Sep-2009,-,Micro Technologies (India) Limited,INE358B01012,-,
SURYALAXMI,EQ,-,10,Annual General Meeting,18-Sep-2009,-,23-Sep-2009,30-Sep-2009,-,Suryalakshmi Cotton Mills Limited,INE713B01026,-,
TRICOM,EQ,-,2,Agm/Div-Re.0.20 Per Share,18-Sep-2009,-,23-Sep-2009,30-Sep-2009,-,Tricom India Limited,INE771B01032,-,
CAROLINFO,EQ,-,10,Agm/Div-Rs.2/- Per Share,18-Sep-2009,-,23-Sep-2009,30-Sep-2009,-,Carol Info Services Limited,INE198A01014,-,
TTL,EQ,-,1,Annual General Meeting,18-Sep-2009,-,23-Sep-2009,30-Sep-2009,-,T T Limited,INE592B01016,-,
NAHARCAP,EQ,-,5,Dividend-Re.0.50 Pr Share,18-Sep-2009,-,23-Sep-2009,30-Sep-2009,-,Nahar Capital and Financial Services Limited,INE049I01012,-,
NAHARPOLY,EQ,-,5,Dividend-Re.0.35 Pr Share,18-Sep-2009,-,23-Sep-2009,30-Sep-2009,-,Nahar Poly Films Limited,INE308A01027,-,
ICSA,EQ,-,2,Agm/Div-Rs.1.40 Per Share,18-Sep-2009,-,23-Sep-2009,24-Sep-2009,-,ICSA (India) Limited,INE306B01029,-,
TV-18,EQ,-,5,Rights 1:2 Prem@Rs.79/-,18-Sep-2009,22-Sep-2009,-,-,-,Television Eighteen India Limited,INE889A01026,-,
BLUECOAST,EQ,-,10,Annual General Meeting,18-Sep-2009,-,23-Sep-2009,30-Sep-2009,-,Blue Coast Hotels Limited,INE472B01011,-,
BROADCAST,EQ,-,10,Annual General Meeting,18-Sep-2009,-,23-Sep-2009,29-Sep-2009,-,Broadcast Initiatives Limited,INE698H01018,-,
GANESHHOU,EQ,-,10,Agm/Div-Rs.1.80 Per Share,18-Sep-2009,-,23-Sep-2009,30-Sep-2009,-,GANESH HOUSING LIMITED,INE460C01014,-,
OPTOCIRCUI,EQ,-,10,Dividend-Rs.4/- Per Share,18-Sep-2009,-,23-Sep-2009,29-Sep-2009,-,Opto Circuits (India) Limited,INE808B01016,-,
METKORE,EQ,-,2,Annual General Meeting,18-Sep-2009,-,23-Sep-2009,29-Sep-2009,-,Metkore Alloys & Industries Limited,INE592I01029,-,
GRABALALK,EQ,-,10,Dividend-Re.0.80 Pr Share,18-Sep-2009,-,23-Sep-2009,30-Sep-2009,-,Grabal Alok Impex Limited,INE012D01011,-,
LOKESHMACH,EQ,-,10,Annual General Meeting,18-Sep-2009,-,23-Sep-2009,30-Sep-2009,-,Lokesh Machines Limited,INE397H01017,-,
QUINTEGRA,EQ,-,10,Annual General Meeting,18-Sep-2009,-,23-Sep-2009,30-Sep-2009,-,Quintegra Solutions Limited,INE033B01011,-,
AJRINFRA,EQ,-,2,Annual General Meeting,18-Sep-2009,-,23-Sep-2009,23-Sep-2009,-,AJR INFRA AND TOLLING LIMITED,INE181G01025,-,
MANGCHEFER,EQ,-,10,Agm/Div-Re.0.70 Per Share,18-Sep-2009,-,23-Sep-2009,29-Sep-2009,-,Mangalore Chemicals & Fertilizers Limited,INE558B01017,-,
NAHARSPING,EQ,-,5,Dividend-Re.0.50 Pr Share,18-Sep-2009,-,23-Sep-2009,30-Sep-2009,-,Nahar Spinning Mills Limited,INE290A01027,-,
PANACEABIO,EQ,-,1,Annual General Meeting,18-Sep-2009,-,23-Sep-2009,25-Sep-2009,-,Panacea Biotec Limited,INE922B01023,-,
MODIRUBBER,EQ,-,10,Annual General Meeting,18-Sep-2009,-,23-Sep-2009,29-Sep-2009,-,Modi Rubber Limited,INE832A01018,-,
ATLASCYCLE,EQ,-,5,Agm/Div-Rs.4.50 Per Share,18-Sep-2009,-,23-Sep-2009,30-Sep-2009,-,Atlas Cycles (Haryana) Limited,INE446A01017,-,
AUTOLITIND,EQ,-,10,Annual General Meeting,18-Sep-2009,-,23-Sep-2009,30-Sep-2009,-,Autolite (India) Limited,INE448A01013,-,
PARAL,EQ,-,10,Dividend-Rs.2.50 Pr Share,18-Sep-2009,-,23-Sep-2009,30-Sep-2009,-,Parekh Aluminex Limited,INE620C01013,-,
CYBERTECH,EQ,-,10,Dividend-Re.1/- Per Share,18-Sep-2009,-,23-Sep-2009,30-Sep-2009,-,Cybertech Systems And Software Limited,INE214A01019,-,
CLUTCHAUTO,EQ,-,10,Annual General Meeting,18-Sep-2009,-,23-Sep-2009,29-Sep-2009,-,Clutch Auto Limited,INE779B01019,-,
RAJVIR,EQ,-,10,Agm/Div-Rs.2/- Per Share,18-Sep-2009,-,23-Sep-2009,30-Sep-2009,-,Rajvir Industries Limited,INE011H01014,-,
CTE,EQ,-,10,Annual General Meeting,18-Sep-2009,-,23-Sep-2009,30-Sep-2009,-,Cambridge Technology Enterprises Limited,INE627H01017,-,
DELTAMAGNT,EQ,-,10,Annual General Meeting,18-Sep-2009,-,23-Sep-2009,29-Sep-2009,-,Delta Manufacturing Limited,INE393A01011,-,
GARDENSILK,EQ,-,10,Dividend-Rs.1.50 Pr Share,18-Sep-2009,-,23-Sep-2009,30-Sep-2009,-,Garden Silk Mills Limited,INE526A01016,-,
SCI,EQ,-,10,Agm/Div-Rs.6.5 Per Share,18-Sep-2009,-,23-Sep-2009,30-Sep-2009,-,Shipping Corporation Of India Limited,INE109A01011,-,
KAKATCEM,EQ,-,10,Agm/Div-Rs.2.70 Per Share,18-Sep-2009,-,23-Sep-2009,25-Sep-2009,-,Kakatiya Cement Sugar & Industries Limited,INE437B01014,-,
GRANULES,EQ,-,1,Agm/Div-Rs.1.25 Per Share,18-Sep-2009,-,23-Sep-2009,25-Sep-2009,-,Granules India Limited,INE101D01012,-,
KOPRAN,EQ,-,10,Annual General Meeting,18-Sep-2009,-,23-Sep-2009,26-Sep-2009,-,Kopran Limited,INE082A01010,-,
WINSOMEDJ,EQ,-,10,Annual General Meeting,18-Sep-2009,-,23-Sep-2009,30-Sep-2009,-,Winsome Diamonds and Jewellery Limited,INE664A01015,-,
MVL,EQ,-,1,Fv Split Rs.10/- To Rs.2/,18-Sep-2009,22-Sep-2009,-,-,-,MVL Limited,INE744I01026,-,
HMT,EQ,-,10,Annual General Meeting,18-Sep-2009,-,23-Sep-2009,30-Sep-2009,-,HMT Limited,INE262A01018,-,
NSIL,EQ,-,10,Annual General Meeting,18-Sep-2009,-,23-Sep-2009,25-Sep-2009,-,Nalwa Sons Investments Limited,INE023A01030,-,
MOHOTAIND,EQ,-,10,Annual General Meeting,18-Sep-2009,-,23-Sep-2009,30-Sep-2009,-,Mohota Industries Limited,INE313D01013,-,
EUROCERA,EQ,-,10,Annual General Meeting,22-Sep-2009,-,24-Sep-2009,30-Sep-2009,-,Euro Ceramics Limited,INE649H01011,-,
WEIZMANIND,EQ,-,10,Agm/Div-Re.0.50 Per Share,22-Sep-2009,-,24-Sep-2009,29-Sep-2009,-,Weizmann Limited,INE080A01014,-,
GLOBOFFS,EQ,-,10,Agm/Div-Re.0.40 Per Share,22-Sep-2009,-,24-Sep-2009,29-Sep-2009,-,Global Offshore Services Limited,INE446C01013,-,
BARTRONICS,EQ,-,10,Agm/Div-Re.1/- Per Share,22-Sep-2009,-,24-Sep-2009,29-Sep-2009,-,Bartronics India Limited,INE855F01034,-,
CRANESSOFT,EQ,-,2,Agm/Div-Re.0.20 Per Share,22-Sep-2009,-,24-Sep-2009,29-Sep-2009,-,Cranes Software International Limited,INE234B01023,-,
SGL,EQ,-,10,Annual General Meeting,22-Sep-2009,-,24-Sep-2009,30-Sep-2009,-,STL Global Limited,INE353H01010,-,
SANGHIPOLY,EQ,-,10,Annual General Meeting,22-Sep-2009,-,24-Sep-2009,29-Sep-2009,-,Sanghi Polyesters Limited,INE146A01013,-,
JINDALPHOT,EQ,-,10,Dividend-Re.1/- Per Share,22-Sep-2009,-,24-Sep-2009,30-Sep-2009,-,Jindal Photo Limited,INE796G01012,-,
OMAXE,EQ,-,10,Annual General Meeting,22-Sep-2009,-,24-Sep-2009,29-Sep-2009,-,Omaxe Limited,INE800H01010,-,
SITASHREE,EQ,-,10,Annual General Meeting,22-Sep-2009,-,24-Sep-2009,29-Sep-2009,-,Sita Shree Food Products Limited,INE686I01011,-,
ARENTERP,EQ,-,10,Annual General Meeting,22-Sep-2009,-,24-Sep-2009,30-Sep-2009,-,Rajdarshan Industries Limited,INE000801014,-,
MASTEK,EQ,-,5,Agm/Div-Rs.7.50 Per Share,22-Sep-2009,-,24-Sep-2009,01-Oct-2009,-,Mastek Limited,INE759A01021,-,
ATLANTAA,EQ,-,2,Annual General Meeting   Purpose Revised,22-Sep-2009,-,24-Sep-2009,30-Sep-2009,-,ATLANTAA LIMITED,INE285H01022,-,
BLUEBLENDS,EQ,-,10,Annual General Meeting,22-Sep-2009,-,24-Sep-2009,26-Sep-2009,-,Blue Blends (I) Limited,INE034101019,-,
TELEDATAGL,EQ,-,2,Annual General Meeting,22-Sep-2009,-,24-Sep-2009,25-Sep-2009,-,Teledata Informatics Limited,INE480B01022,-,
