Date,Institutional_Score,Trend_Daily,Trend_Weekly,Trend_BiWeekly,Trend_Monthly,Trend_Quarterly,Trend_HalfYearly,Trend_Yearly,Trend_State,Trend_Strength,Trend_Acceleration
2021-05-04,-111352.5,11682.100000000006,-8357.869999999995,-6581.3550000000105,617.9238095238106,-8478.475396825379,-31109.873015873018,-65319.38968253969,NEUTRAL,-11832.890376984125,13263.360884920641
2021-05-05,-114074.5,-2722.0,-5691.189999999988,-9377.235,-2042.4428571428434,-10870.990476190462,-33400.17738095237,-67339.426984127,STRONG_DISTRIBUTION,-14747.683472222216,-2914.7930952380902
2021-05-06,-113196.85,877.6499999999942,1485.0400000000081,-8235.839999999997,-1783.395238095225,-9394.019047619062,-32135.015873015887,-65709.13035714286,NEUTRAL,-12564.22128968254,2183.4621825396753
2021-05-07,-112462.7,734.1500000000087,2361.5300000000134,-6785.875,-1484.4095238095179,-8287.420634920622,-31008.774999999994,-64343.464484126984,NEUTRAL,-11739.676174603168,824.5451150793724
2021-05-10,-123304.75,-10842.050000000003,-8426.48999999999,-15500.88500000001,-12012.700000000012,-18582.35317460318,-41427.83730158731,-74482.79126984127,STRONG_DISTRIBUTION,-22054.90208333334,-10315.225908730174
2021-05-11,-130438.4,-7133.649999999994,-11742.960000000006,-19593.36499999999,-18579.03571428571,-25023.587301587308,-47946.21666666666,-80873.82579365079,STRONG_DISTRIBUTION,-26694.11501984127,-4639.212936507927
2021-05-12,-144008.75,-13570.350000000006,-19326.460000000006,-27475.949999999997,-31177.95238095238,-37713.816666666666,-60764.44682539684,-93799.95476190475,STRONG_DISTRIBUTION,-37285.39725396826,-10591.28223412699
2021-05-14,-141786.1,2222.649999999994,-11385.960000000021,-19245.08500000002,-28198.902380952393,-34533.387301587296,-57818.85555555555,-90915.25992063493,EARLY_ACCUMULATION,-31475.53698809525,5809.860265873009
2021-05-17,-137060.05,4726.0500000000175,-1740.4399999999732,-11988.12999999999,-22335.814285714267,-28923.82142857142,-52242.64206349205,-85524.7611111111,EARLY_ACCUMULATION,-25285.94760317459,6189.589384920659
2021-05-18,-131607.0,5453.049999999988,5373.059999999998,-5677.840000000011,-16166.854761904746,-22731.01190476191,-45992.65357142857,-79485.29861111112,NEUTRAL,-19499.572694444447,5786.374908730144
2021-05-19,-142051.3,-10444.299999999988,-2748.6600000000035,-13052.259999999995,-25305.878571428562,-32245.789682539675,-55555.059126984124,-89264.66031746031,STRONG_DISTRIBUTION,-29059.87803968253,-9560.305345238085
2021-05-20,-153756.7,-11705.400000000023,-12504.470000000001,-20789.44000000003,-35115.816666666666,-42878.32380952382,-66237.10793650795,-100350.26031746034,STRONG_DISTRIBUTION,-38034.06606349208,-8974.188023809547
2021-05-21,-154835.5,-1078.7999999999884,-10973.389999999985,-17704.375,-34288.79761904762,-42834.43571428572,-66287.34880952381,-100825.84226190476,STRONG_DISTRIBUTION,-36118.228619047615,1915.8374444444635
2021-05-24,-164324.85,-9489.350000000006,-15009.779999999999,-22007.50999999998,-41217.888095238115,-51159.20000000001,-74768.93174603175,-109720.89444444445,STRONG_DISTRIBUTION,-42928.86314285715,-6810.634523809538
2021-05-25,-168026.35,-3701.5,-11427.410000000003,-21236.850000000006,-41932.635714285716,-53650.47857142857,-77506.2642857143,-112661.19960317461,STRONG_DISTRIBUTION,-42817.2661031746,111.59703968255053
2021-05-26,-166219.6,1806.75,-4787.0,-15851.98000000001,-37069.44523809524,-50736.71904761906,-74656.7623015873,-110148.64642857143,EARLY_ACCUMULATION,-38273.582039682544,4543.684063492059
