symbol,forward_return_prob,forward_return_score
CARYSIL,0.5114,51.1
CASHIETF,0.053,5.3
CASTROLIND,0.3545,35.4
CCAVENUE,0.5319,53.2
CCCL,0.5142,51.4
CCHHL,0.3974,39.7
CCL,0.3785,37.9
CDSL,0.4477,44.8
CEATLTD,0.4731,47.3
CEIGALL,0.6036,60.4
CEINSYS,0.6274,62.7
CELEBRITY,0.2185,21.9
CELLO,0.4656,46.6
CEMPRO,0.4246,42.5
CENTENKA,0.4923,49.2
CENTEXT,0.3991,39.9
CENTRALBK,0.3746,37.5
CENTRUM,0.2974,29.7
CENTUM,0.5887,58.9
CENTURYPLY,0.3367,33.7
CERA,0.4098,41.0
CESC,0.4218,42.2
CEWATER,0.4382,43.8
CGCL,0.3317,33.2
CGPOWER,0.5549,55.5
CHALET,0.4864,48.6
CHAMBLFERT,0.4232,42.3
CHEMBOND,0.3296,33.0
CHEMBONDCH,0.3134,31.3
CHEMCON,0.165,16.5
CHEMFAB,0.2032,20.3
CHEMICAL,0.3899,39.0
CHEMPLASTS,0.3466,34.7
CHENNPETRO,0.5556,55.6
CHEVIOT,0.3872,38.7
CHOICEGOLD,0.3742,37.4
CHOICEIN,0.4757,47.6
CHOLAFIN,0.4811,48.1
CHOLAHLDNG,0.4879,48.8
CIEINDIA,0.4532,45.3
CIFL,0.5618,56.2
CIGNITITEC,0.5135,51.3
CINELINE,0.3147,31.5
CINEVISTA,0.1948,19.5
CIPLA,0.5003,50.0
CLEAN,0.3884,38.8
CLEANMAX,0.5159,51.6
CLEDUCATE,0.4282,42.8
CLSEL,0.2019,20.2
CMPDI,0.5739,57.4
CMRGREEN,0.1528,15.3
CMSINFO,0.5725,57.3
CNL,0.539,53.9
COALINDIA,0.3733,37.3
COASTCORP,0.5705,57.0
COCHINSHIP,0.4335,43.4
COCKERILL,0.3608,36.1
COFFEEDAY,0.4722,47.2
COFORGE,0.4569,45.7
COHANCE,0.3718,37.2
COLPAL,0.4758,47.6
COMFINTE,0.4094,40.9
COMMOIETF,0.3064,30.6
COMPUSOFT,0.3823,38.2
COMSYN,0.365,36.5
CONCOR,0.408,40.8
CONCORDBIO,0.3465,34.6
CONFIPET,0.6037,60.4
CONS,0.4365,43.7
CONSOFINVT,0.4736,47.4
CONSUMBEES,0.412,41.2
CONSUMER,0.2483,24.8
CONSUMIETF,0.1828,18.3
CONTROLPR,0.4329,43.3
CORALFINAC,0.3339,33.4
CORDSCABLE,0.3183,31.8
COROMANDEL,0.4663,46.6
CORONA,0.4686,46.9
COSMOFIRST,0.4817,48.2
COUNCODOS,0.3791,37.9
CPCAP,0.246,24.6
CPEDU,0.4859,48.6
CPPLUS,0.413,41.3
CPSEETF,0.2323,23.2
CRAFTSMAN,0.4762,47.6
CRAMC,0.5638,56.4
CREATIVE,0.3336,33.4
CREATIVEYE,0.3054,30.5
CREDITACC,0.5213,52.1
CREST,0.1667,16.7
CRISIL,0.4704,47.0
CRIZAC,0.5178,51.8
CROMPTON,0.3916,39.2
CROWN,0.4352,43.5
CSBBANK,0.5186,51.9
CSLFINANCE,0.2832,28.3
CTE,0.5297,53.0
CUB,0.4183,41.8
CUBEXTUB,0.7022,70.2
CUMMINSIND,0.5849,58.5
CUPID,0.6177,61.8
CURAA,0.2526,25.3
CYBERMEDIA,0.2887,28.9
CYBERTECH,0.3999,40.0
CYIENT,0.45,45.0
