symbol,forward_return_prob,forward_return_score
UTKARSHBNK,0.2725,27.2
UTLSOLAR,0.6057,60.6
UTTAMSUGAR,0.3985,39.8
UYFINCORP,0.6333,63.3
V2RETAIL,0.4836,48.4
VADILALIND,0.219,21.9
VAIBHAVGBL,0.4211,42.1
VAISHALI,0.1204,12.0
VAKRANGEE,0.3857,38.6
VAL30IETF,0.3351,33.5
VALIANTLAB,0.3045,30.5
VALIANTORG,0.4486,44.9
VALUE,0.2604,26.0
VAML,0.1536,15.4
VARDHACRLC,0.382,38.2
VARDMNPOLY,0.5209,52.1
VARROC,0.3787,37.9
VASCONEQ,0.4377,43.8
VASWANI,0.5767,57.7
VBL,0.4919,49.2
VCL,0.54,54.0
VEDL,0.8021,80.2
VEDPOWER,0.1536,15.4
VEEDOL,0.4637,46.4
VELJAN,0.402,40.2
VENKEYS,0.4047,40.5
VENTIVE,0.4177,41.8
VENUSPIPES,0.5727,57.3
VENUSREM,0.5317,53.2
VERANDA,0.5025,50.2
VERTOZ,0.3992,39.9
VESUVIUS,0.4656,46.6
VETO,0.2552,25.5
VGL,0.5701,57.0
VGUARD,0.3882,38.8
VHL,0.5089,50.9
VIDHIING,0.4114,41.1
VIDYAWIRES,0.5502,55.0
VIJAYA,0.3091,30.9
VIJIFIN,0.3868,38.7
VIKASECO,0.5407,54.1
VIKASLIFE,0.4885,48.8
VIKRAMSOLR,0.2669,26.7
VIKRAN,0.2692,26.9
VIMTALABS,0.4228,42.3
VINATIORGA,0.4411,44.1
VINCOFE,0.4411,44.1
VINDHYATEL,0.4844,48.4
VINEETLAB,0.3238,32.4
VINNY,0.2515,25.2
VINYLINDIA,0.4412,44.1
VIPCLOTHNG,0.1801,18.0
VIPIND,0.3372,33.7
VIPULLTD,0.5331,53.3
VIRINCHI,0.5933,59.3
VISAKAIND,0.3271,32.7
VISASTEEL,0.4583,45.8
VISHNU,0.4089,40.9
VISHWARAJ,0.535,53.5
VISL,0.1536,15.4
VITAL,0.2089,20.9
VIVIDHA,0.4748,47.5
VIVIMEDLAB,0.3154,31.5
VIYASH,0.5256,52.6
VLEGOV,0.406,40.6
VLSFINANCE,0.3934,39.3
VMART,0.5079,50.8
VMM,0.3644,36.4
VMSTMT,0.3573,35.7
VOGL,0.1536,15.4
VOLTAMP,0.4887,48.9
VOLTAS,0.4359,43.6
VPRPL,0.4721,47.2
VRAJ,0.3901,39.0
VRLLOG,0.4673,46.7
VSSL,0.224,22.4
VSTIND,0.279,27.9
VSTL,0.3833,38.3
VSTTILLERS,0.5979,59.8
VTL,0.5888,58.9
WAAREEENER,0.4655,46.5
WAAREEINDO,0.1528,15.3
WAAREERTL,0.4598,46.0
WABAG,0.5599,56.0
WAKEFIT,0.4628,46.3
WALCHANNAG,0.5882,58.8
WANBURY,0.577,57.7
WCIL,0.4273,42.7
WEALTH,0.351,35.1
WEBELSOLAR,0.421,42.1
WEIZMANIND,0.3767,37.7
WEL,0.3665,36.6
WELCORP,0.5055,50.6
WELENT,0.3764,37.6
WELINV,0.478,47.8
WELSPLSOL,0.4851,48.5
WELSPUNLIV,0.5802,58.0
WENDT,0.4442,44.4
WESTLIFE,0.4146,41.5
WEWIN,0.3797,38.0
WEWORK,0.2363,23.6
WHEELS,0.5088,50.9
WHIRLPOOL,0.4144,41.4
WILLAMAGOR,0.2978,29.8
WIMPLAST,0.2089,20.9
WINDLAS,0.4386,43.9
WINDMACHIN,0.4434,44.3
WIPL,0.405,40.5
WIPRO,0.4602,46.0
WOCKPHARMA,0.4739,47.4
WONDERLA,0.3601,36.0
WORTH,0.2683,26.8
WORTHPERI,0.3041,30.4
WPIL,0.6262,62.6
WSI,0.3307,33.1
WSTCSTPAPR,0.3183,31.8
XCHANGING,0.4551,45.5
XELPMOC,0.3241,32.4
XPROINDIA,0.5568,55.7
XTGLOBAL,0.4489,44.9
YASHO,0.425,42.5
YATHARTH,0.594,59.4
YATRA,0.5248,52.5
YESBANK,0.3857,38.6
YUKEN,0.4515,45.2
ZAGGLE,0.7956,79.6
ZEEL,0.5046,50.5
ZEELEARN,0.249,24.9
ZEEMEDIA,0.587,58.7
ZENITHEXPO,0.201,20.1
ZENITHSTL,0.3941,39.4
ZENSARTECH,0.6863,68.6
ZENTEC,0.5654,56.5
ZFCVINDIA,0.3255,32.5
ZFSTEERING,0.4597,46.0
ZIMLAB,0.4936,49.4
ZODIAC,0.5127,51.3
ZODIACLOTH,0.379,37.9
ZOTA,0.4199,42.0
ZSARACOM,0.5335,53.3
ZUARI,0.3066,30.7
ZUARIIND,0.3664,36.6
ZYDUSLIFE,0.468,46.8
ZYDUSWELL,0.5388,53.9
