symbol,sector,bull_run_score,label,accumulation_score,ml_bull_run_score
KAJARIACER,CAPITAL_GOODS,54.2,EMERGING,21.258265,61.2
SILVERTUC,IT,54.18,EMERGING,31.367716,64.89
KIRANVYPAR,FINANCIAL_SERVICES,54.18,EMERGING,83.69867,78.61
CREDITACC,FINANCIAL_SERVICES,54.1,EMERGING,76.27693,73.02
MUNJALAU,AUTO,54.08,EMERGING,72.69181,77.44
LAGNAM,TEXTILES,54.07,EMERGING,23.897453,62.51
VSSL,METAL,54.03,EMERGING,50.361603,76.35
QMSMEDI,OTHER,54.0,EMERGING,21.274271,62.46
OFSS,FINANCIAL_SERVICES,53.96,EMERGING,95.93714,79.37
APOLLOHOSP,HEALTHCARE,53.96,EMERGING,45.075703,66.26
UEL,POWER,53.89,EMERGING,93.14034,78.8
TEXINFRA,CAPITAL_GOODS,53.89,EMERGING,10.995304,60.7
JUBLINGREA,CHEMICALS,53.88,EMERGING,84.51822,78.24
SHADOWFAX,LOGISTICS,53.83,EMERGING,91.57448,79.07
STARHEALTH,FINANCIAL_SERVICES,53.82,EMERGING,80.91786,76.22
MUKANDLTD,METAL,53.79,EMERGING,4.5016813,60.53
MARICO,FMCG,53.78,EMERGING,88.97404,78.03
ICICIBANK,BANKING,53.77,EMERGING,51.357796,66.0
RISHABH,CAPITAL_GOODS,53.75,EMERGING,48.118736,62.73
MANORAMA,FMCG,53.74,EMERGING,61.222057,72.16
TECHM,IT,53.73,EMERGING,94.74401,79.23
RUBICON,PHARMA,53.69,EMERGING,94.84254,79.3
GOCLCORP,CHEMICALS,53.62,EMERGING,89.39689,78.57
NRBBEARING,AUTO,53.6,EMERGING,77.764496,65.25
360ONE,FINANCIAL_SERVICES,53.6,EMERGING,42.27383,65.92
SUNDRMFAST,AUTO,53.59,EMERGING,84.0523,79.16
PNBHOUSING,FINANCIAL_SERVICES,53.53,EMERGING,71.34764,76.66
PIDILITIND,CHEMICALS,53.51,EMERGING,4.7879643,59.95
ANTHEM,PHARMA,53.49,EMERGING,90.99657,79.01
SANATHAN,TEXTILES,53.49,EMERGING,95.21311,77.82
BUTTERFLY,FMCG,53.48,EMERGING,41.82304,66.98
MUFIN,FINANCIAL_SERVICES,53.42,EMERGING,10.334071,60.66
MAHLIFE,REALTY,53.35,EMERGING,89.129005,78.24
ECLERX,IT,53.35,EMERGING,2.787914,60.06
AVALON,CAPITAL_GOODS,53.33,EMERGING,27.916735,62.93
ITDC,CAPITAL_GOODS,53.32,EMERGING,66.26675,77.5
STEELCAS,CAPITAL_GOODS,53.3,EMERGING,27.902699,62.99
SIGIND,MEDIA,53.25,EMERGING,35.044964,68.32
RPGLIFE,PHARMA,53.25,EMERGING,85.00073,79.38
SBCL,METAL,53.22,EMERGING,24.218637,62.61
HALDER,AGRICULTURE,53.21,EMERGING,48.549423,68.99
A2ZINFRA,INFRASTRUCTURE,53.2,EMERGING,79.70034,76.6
IMFA,METAL,53.19,EMERGING,42.22628,75.14
CORONA,PHARMA,53.18,EMERGING,87.184235,77.75
BETA,PHARMA,53.14,EMERGING,78.709015,77.24
GATECH,FINANCIAL_SERVICES,53.11,EMERGING,88.87091,79.3
SALSTEEL,OTHER,53.1,EMERGING,1.5424219,47.94
MENNPIS,AUTO,53.07,EMERGING,73.28442,77.24
SENORES,PHARMA,53.03,EMERGING,40.718662,65.0
SGIL,CAPITAL_GOODS,53.01,EMERGING,2.3407178,60.31
SONATSOFTW,IT,53.0,EMERGING,97.07584,79.63
CAPLIPOINT,PHARMA,52.99,EMERGING,6.6133685,60.66
MARINE,CAPITAL_GOODS,52.98,EMERGING,34.01365,62.04
DENORA,CAPITAL_GOODS,52.96,EMERGING,56.677975,65.48
SENCO,FMCG,52.95,EMERGING,66.6192,77.23
PARKHOSPS,HEALTHCARE,52.95,EMERGING,45.364326,68.53
PTCIL,POWER,52.91,EMERGING,11.647747,62.71
PANAMAPET,ENERGY,52.87,EMERGING,96.15456,79.3
HTMEDIA,MEDIA,52.86,EMERGING,65.83584,77.39
HAL,DEFENCE,52.85,EMERGING,25.4992,63.33
POLYPLEX,CHEMICALS,52.85,EMERGING,52.991657,72.39
ZSARACOM,FINANCIAL_SERVICES,52.83,EMERGING,86.83031,78.53
MACPOWER,CAPITAL_GOODS,52.82,EMERGING,71.22207,77.53
WEWORK,REALTY,52.8,EMERGING,7.5623617,60.55
STYLAMIND,REALTY,52.79,EMERGING,98.51157,79.87
TRAVELFOOD,HOSPITALITY,52.79,EMERGING,26.636314,61.05
MODIS,REALTY,52.78,EMERGING,37.78291,68.85
RAYMONDREL,REALTY,52.78,EMERGING,52.839447,68.07
CENTUM,CAPITAL_GOODS,52.75,EMERGING,73.94644,69.25
STYL,FINANCIAL_SERVICES,52.74,EMERGING,93.14041,78.81
SHINDL,CAPITAL_GOODS,52.73,EMERGING,55.936455,75.71
ETERNAL,RETAIL,52.72,EMERGING,87.672844,74.15
PERSISTENT,IT,52.7,EMERGING,62.200874,77.67
BHAGCHEM,CHEMICALS,52.7,EMERGING,86.46258,78.28
USHAMART,METAL,52.7,EMERGING,36.83034,66.04
INDHOTEL,HOSPITALITY,52.7,EMERGING,83.79596,77.99
