symbol,rvol,rs_30d,delivery_5d_pct,vs_dma_50,as_of
AYMSYNTEX,1.11,18.02,58.1,14.53,20260817
AZAD,3.86,23.19,37.0,26.17,20260817
BAGFILMS,1.17,2.32,67.2,-3.25,20260817
BAIDFIN,2.97,-3.48,85.7,-4.19,20260817
BAJAJ-AUTO,0.45,15.66,56.1,9.71,20260817
BAJAJCON,2.66,-10.29,57.8,-15.75,20260817
BAJAJELEC,0.21,9.19,40.3,7.41,20260817
BAJAJFINSV,0.69,11.82,59.8,6.95,20260817
BAJAJHCARE,0.2,-10.6,49.7,-1.9,20260817
BAJAJHFL,0.76,0.03,56.3,-2.74,20260817
BAJAJHIND,1.69,7.38,40.7,0.06,20260817
BAJAJHLDNG,2.73,12.0,55.3,5.63,20260817
BAJAJINDEF,1.21,-6.65,67.9,-9.85,20260817
BAJAJST,0.67,-7.58,70.9,-8.56,20260817
BAJEL,0.27,6.04,43.1,-1.74,20260817
BAJFINANCE,0.24,7.75,61.3,6.28,20260817
BALAJEE,0.49,-2.55,72.8,-3.64,20260817
BALAJITELE,0.91,6.01,49.8,5.63,20260817
BALAMINES,0.35,-7.63,38.0,-1.91,20260817
BALAXI,0.66,,97.8,12.5,20260817
BALKRISHNA,0.62,1.3,69.1,-3.16,20260817
BALKRISIND,0.34,14.99,62.5,8.13,20260817
BALMLAWRIE,0.47,0.9,46.1,-1.6,20260817
BALPHARMA,0.45,0.79,64.5,-0.75,20260817
BALRAMCHIN,1.67,12.43,37.5,12.18,20260817
BALUFORGE,3.88,17.49,33.0,13.3,20260817
BANARBEADS,0.06,-1.74,75.5,2.1,20260817
BANARISUG,0.53,2.62,62.7,-0.94,20260817
BANCOINDIA,1.06,-4.8,51.5,-6.96,20260817
BANDHANBNK,0.14,-16.43,44.9,-10.7,20260817
BANG,1.9,1.13,71.9,-5.14,20260817
BANKA,0.38,,76.0,34.51,20260817
BANKBARODA,0.82,2.07,53.1,-4.03,20260817
BANKINDIA,0.62,3.06,43.9,0.56,20260817
BANSALWIRE,0.46,5.13,51.6,0.98,20260817
BANSWRAS,1.09,-10.02,66.2,-9.51,20260817
BASF,0.97,9.33,52.7,9.69,20260817
BATAINDIA,1.2,14.38,37.5,8.3,20260817
BATLIBOI,0.23,8.93,59.1,4.5,20260817
BAYERCROP,0.86,-0.14,60.7,-2.38,20260817
BBL,0.36,-12.01,59.5,-12.76,20260817
BBOX,0.74,-8.03,42.9,-12.18,20260817
BBTC,1.28,1.18,55.3,-3.27,20260817
BBTCL,2.16,9.88,67.7,5.96,20260817
BCG,1.95,2.15,47.3,-1.63,20260817
BCLIND,3.33,3.43,48.1,0.8,20260817
BCONCEPTS,1.51,-18.34,59.2,-15.08,20260817
BCPL,1.96,5.95,61.5,1.33,20260817
BDL,2.17,12.05,31.9,6.17,20260817
BEARDSELL,1.31,-6.99,67.0,-11.4,20260817
BECTORFOOD,0.63,35.58,31.7,30.15,20260817
BEDMUTHA,0.63,3.57,76.6,-0.68,20260817
BEEKAY,0.36,9.9,52.8,6.21,20260817
BEL,0.57,4.08,57.1,1.01,20260817
BELLACASA,1.8,-5.96,70.4,-8.98,20260817
BELRISE,3.39,5.01,42.1,-0.29,20260817
BEML,0.92,7.6,32.7,6.47,20260817
BENGALASM,0.37,2.44,64.4,-1.15,20260817
BEPL,0.13,14.81,41.6,12.16,20260817
BERGEPAINT,0.87,13.01,54.3,6.15,20260817
BESTAGRO,0.1,24.26,41.4,13.53,20260817
BETA,0.75,10.39,51.4,11.73,20260817
BFINVEST,0.86,0.81,44.0,1.21,20260817
BFUTILITIE,0.76,-9.25,43.7,-8.02,20260817
BHAGCHEM,0.92,6.97,67.0,4.17,20260817
BHAGYANGR,0.36,,59.8,98.01,20260817
BHANDARI,0.74,,,3.06,20260817
BHARATCOAL,0.72,-6.51,52.2,-10.02,20260817
BHARATFORG,0.95,2.21,56.0,-0.93,20260817
BHARATRAS,0.93,-1.36,50.2,-3.7,20260817
BHARATSE,0.48,4.63,33.8,10.5,20260817
BHARATWIRE,0.98,-3.78,43.2,-5.63,20260817
BHARTIARTL,0.82,5.24,65.6,3.32,20260817
BHARTIHEXA,1.37,3.58,50.9,6.41,20260817
BHEL,1.78,2.9,41.2,7.86,20260817
BI,14.68,49.03,73.6,49.53,20260817
BIGBLOC,0.82,-2.99,77.6,-7.34,20260817
BIKAJI,0.4,-1.37,58.1,-4.77,20260817
BIL,2.28,20.06,75.4,13.45,20260817
BIMETAL,2.4,-6.28,82.4,-4.92,20260817
BIOCON,0.81,-3.74,52.3,-2.55,20260817
BIOFILCHEM,2.02,-3.02,76.5,-6.37,20260817
BIRLACORPN,0.13,-9.51,57.5,-5.75,20260817
BIRLAMONEY,0.87,-3.74,67.6,-5.56,20260817
BIRLANU,0.19,27.14,45.1,11.87,20260817
BIRLAPREC,1.19,3.95,63.2,-0.99,20260817
BLACKBUCK,0.47,1.97,48.6,2.32,20260817
BLAL,1.07,-3.8,78.9,-5.72,20260817
BLBLIMITED,4.27,4.42,88.9,0.63,20260817
BLIL,0.85,3.03,70.7,-0.24,20260817
BLKASHYAP,0.78,-6.45,55.0,-2.04,20260817
BLS,1.16,17.29,43.9,8.6,20260817
BLSE,0.28,18.42,47.5,16.4,20260817
BLUECHIP,1.49,,100.0,,20260817
BLUEDART,0.09,7.17,45.5,3.28,20260817
BLUEJET,0.3,3.63,52.8,5.9,20260817
BLUESTARCO,1.05,-10.64,43.3,-7.36,20260817
BLUESTONE,0.11,40.68,15.3,27.05,20260817
BLUSPRING,0.55,-4.74,51.1,-0.06,20260817
BMWVENTLTD,0.47,0.3,54.7,-1.22,20260817
BNAGROCHEM,0.34,,54.9,,20260817
BOHRAIND,0.24,5.94,81.2,-4.76,20260817
