symbol,close_now,high_52w,low_52w,prox_52w_high,prox_52w_low,dma_20,dma_50,dma_200,vs_dma_20,vs_dma_50,vs_dma_200,trend_signal,vol_20d_avg,rsi,rsi_signal,macd_line,macd_signal,macd_hist,macd_cross,atr_14,atr_pct,bb_upper,bb_lower,bb_mid,bb_pct,bb_width,bb_signal,bb_squeeze,obv_signal,adx,adx_plus_di,adx_minus_di,adx_strength,adx_direction,as_of_date
AAKASH,8.77,13.4,7.21,-34.55,21.64,8.95,9.19,,-2.01,-4.57,,INSUFFICIENT_DATA,119203.0,43.62,BEARISH,-0.0471,-0.0231,-0.024,BEARISH,0.3546,4.04,9.17,8.73,8.95,8.07,4.9,NEAR_LOWER,False,DISTRIBUTING,25.26,14.8,21.01,MODERATE_TREND,BEARISH,2026-08-17
AAREYDRUGS,85.58,96.0,50.31,-10.85,70.11,77.14,70.97,,10.94,20.59,,INSUFFICIENT_DATA,215802.0,60.09,BULLISH,7.0594,5.9028,1.1566,BULLISH,5.1851,6.06,103.02,51.26,77.14,66.31,67.1,MID_BAND,False,ACCUMULATING,40.09,31.52,18.18,STRONG_TREND,BULLISH,2026-08-17
AARNAV,31.23,37.4,21.0,-16.5,48.71,30.76,27.59,,1.53,13.19,,INSUFFICIENT_DATA,72559.0,55.96,BULLISH,1.2357,1.3199,-0.0842,BEARISH,2.0263,6.49,33.29,28.24,30.76,59.23,16.43,MID_BAND,False,DISTRIBUTING,41.71,23.35,13.84,STRONG_TREND,BULLISH,2026-08-17
AARON,138.85,230.65,106.8,-39.8,30.01,133.55,124.48,146.98,3.97,11.54,-5.53,DOWNTREND,66157.0,59.15,BULLISH,4.3448,4.2016,0.1432,BULLISH,7.3464,5.29,149.75,117.36,133.55,66.35,24.25,MID_BAND,False,ACCUMULATING,32.86,27.17,13.72,STRONG_TREND,BULLISH,2026-08-17
AARTIDRUGS,410.75,534.55,318.95,-23.16,28.78,416.42,397.25,386.43,-1.36,3.4,6.29,UPTREND,226882.0,49.11,NEUTRAL,6.1177,7.2885,-1.1708,BEARISH,14.2171,3.46,434.63,398.21,416.42,34.43,8.75,MID_BAND,False,ACCUMULATING,34.19,24.5,15.71,STRONG_TREND,BULLISH,2026-08-17
AARTIIND,526.7,541.7,338.05,-2.77,55.81,498.13,483.49,434.42,5.74,8.94,21.24,STRONG_UPTREND,1704329.0,63.93,BULLISH,12.3881,8.0516,4.3364,BULLISH,16.3266,3.1,537.6,458.67,498.13,86.19,15.85,MID_BAND,False,ACCUMULATING,25.41,32.18,16.04,MODERATE_TREND,BULLISH,2026-08-17
AARTIPHARM,861.95,946.1,585.0,-8.89,47.34,735.11,702.41,710.53,17.25,22.71,21.31,STRONG_UPTREND,1253769.0,71.66,OVERBOUGHT,46.6518,27.3077,19.3441,BULLISH,36.7254,4.26,910.57,559.65,735.11,86.15,47.74,MID_BAND,False,ACCUMULATING,30.44,40.32,12.11,STRONG_TREND,BULLISH,2026-08-17
AARVI,152.6,168.4,114.81,-9.38,32.92,155.21,148.66,132.97,-1.68,2.65,14.76,UPTREND,40870.0,50.18,NEUTRAL,1.4016,2.1978,-0.7962,BEARISH,7.0545,4.62,160.8,149.61,155.21,26.71,7.21,MID_BAND,False,ACCUMULATING,32.42,18.71,12.65,STRONG_TREND,BULLISH,2026-08-17
AASTHA,73.21,140.01,70.0,-47.71,4.59,85.17,,,-14.04,,,INSUFFICIENT_DATA,5820902.0,33.63,BEARISH,,,,,6.5321,8.92,,,,,,,False,,,,,,,2026-08-17
AAVAS,1389.8,1771.9,1060.4,-21.56,31.06,1399.91,1432.8,1392.2,-0.72,-3.0,-0.17,DOWNTREND,90620.0,45.74,NEUTRAL,-11.3685,-13.5735,2.205,BULLISH,44.3274,3.19,1474.14,1325.67,1399.91,43.19,10.61,MID_BAND,False,DISTRIBUTING,14.79,17.77,20.14,RANGING,BEARISH,2026-08-17
