Date,Sector,Open,High,Low,Close,Volume,Daily_Change
2023-04-12,NIFTY BANK,41426.0,41610.1484375,41332.0,41557.94921875,143000,0.32
2023-04-13,NIFTY BANK,41680.1015625,42196.19921875,41502.6484375,42132.55078125,232600,1.09
2023-04-17,NIFTY BANK,42603.55078125,42603.55078125,41799.0,42262.55078125,229100,-0.8
2023-04-18,NIFTY BANK,42406.94921875,42500.69921875,42114.3515625,42265.19921875,214200,-0.33
2023-04-19,NIFTY BANK,42280.1015625,42339.8984375,42022.1484375,42154.0,170000,-0.3
2023-04-20,NIFTY BANK,42218.5,42378.1484375,42108.8515625,42269.5,180200,0.12
2023-04-21,NIFTY BANK,42252.55078125,42382.1484375,41962.3515625,42118.0,144100,-0.32
2023-04-24,NIFTY BANK,42469.94921875,42714.1484375,42269.1015625,42635.75,201000,0.39
2023-04-25,NIFTY BANK,42731.6015625,42865.55078125,42601.5,42678.5,262400,-0.12
2023-04-26,NIFTY BANK,42559.05078125,42875.6015625,42432.25,42829.8984375,178000,0.64
2023-04-27,NIFTY BANK,42753.8984375,43043.3984375,42736.6015625,43000.8515625,181400,0.58
2023-04-28,NIFTY BANK,43045.5,43302.05078125,42810.3515625,43233.8984375,238700,0.44
2023-05-02,NIFTY BANK,43395.05078125,43483.8515625,43269.3984375,43352.1015625,241600,-0.1
2023-05-03,NIFTY BANK,43154.8515625,43354.94921875,43078.1484375,43312.69921875,175900,0.37
2023-05-04,NIFTY BANK,43236.1015625,43739.80078125,43213.94921875,43685.44921875,175400,1.04
2023-05-05,NIFTY BANK,43110.6484375,43588.0,42582.19921875,42661.19921875,251200,-1.04
2023-05-08,NIFTY BANK,42796.8515625,43418.55078125,42780.30078125,43284.0,223400,1.14
2023-05-09,NIFTY BANK,43438.55078125,43533.25,43125.8515625,43198.1484375,229000,-0.55
2023-05-10,NIFTY BANK,43275.25,43383.6484375,42822.1484375,43331.05078125,249100,0.13
2023-05-11,NIFTY BANK,43535.1015625,43774.25,43367.25,43475.30078125,190700,-0.14
