SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,TRADE_DATE
VIPIND,EQ, 21-Jun-2021,389.45,386.0,387.8,380.0, 383.70,383.0,383.78,198677,762.48,5450, 80485, 40.51,2021-06-21
VISAKAIND,EQ, 21-Jun-2021,664.6,665.5,668.0,652.85, 662.95,663.75,660.91,32850,217.11,4835, 13200, 40.18,2021-06-21
VISHAL,EQ, 21-Jun-2021,56.25,56.0,57.75,54.6, 57.00,56.7,56.51,141480,79.95,1124, 82657, 58.42,2021-06-21
VISHNU,EQ, 21-Jun-2021,469.1,469.1,482.0,455.15, 472.75,471.95,468.14,13229,61.93,658, 8015, 60.59,2021-06-21
VISHWARAJ,EQ, 21-Jun-2021,154.35,152.45,156.5,151.2, 153.25,154.85,154.2,230491,355.42,2696, 42916, 18.62,2021-06-21
VLSFINANCE,EQ, 21-Jun-2021,127.3,126.45,131.05,124.95, 127.25,127.8,128.53,68324,87.82,1915, 40372, 59.09,2021-06-21
VMART,EQ, 21-Jun-2021,2800.05,2830.0,2888.0,2801.0, 2838.25,2835.45,2843.93,25103,713.91,5668, 9646, 38.43,2021-06-21
VOLTAMP,EQ, 21-Jun-2021,1371.75,1360.0,1376.35,1338.15, 1362.00,1360.95,1356.5,11621,157.64,1997, 5259, 45.25,2021-06-21
VOLTAS,EQ, 21-Jun-2021,1029.3,1017.5,1022.5,1007.05, 1020.65,1019.15,1015.53,554484,5630.95,24214, 140652, 25.37,2021-06-21
VRLLOG,EQ, 21-Jun-2021,274.45,274.1,280.05,268.0, 277.00,275.95,276.11,179842,496.57,6413, 49530, 27.54,2021-06-21
VSSL,EQ, 21-Jun-2021,210.05,204.05,222.5,201.0, 218.50,218.3,216.3,418008,904.15,12201, 116012, 27.75,2021-06-21
VSTIND,EQ, 21-Jun-2021,3492.0,3486.0,3512.0,3457.8, 3510.00,3498.2,3486.37,6918,241.19,1323, 3801, 54.94,2021-06-21
VSTTILLERS,EQ, 21-Jun-2021,2138.1,2138.1,2175.0,2062.25, 2172.00,2162.25,2154.95,49990,1077.26,5190, 26593, 53.20,2021-06-21
VTL,EQ, 21-Jun-2021,1364.85,1351.0,1384.4,1343.2, 1371.40,1365.2,1364.78,137699,1879.29,6340, 116922, 84.91,2021-06-21
WABAG,EQ, 21-Jun-2021,363.55,354.75,364.0,342.55, 355.40,355.0,353.51,1104486,3904.44,22183, 415004, 37.57,2021-06-21
WABCOINDIA,EQ, 21-Jun-2021,6967.55,6967.55,7104.45,6890.0, 6892.00,6904.45,6970.13,3150,219.56,1378, 1141, 36.22,2021-06-21
WALCHANNAG,EQ, 21-Jun-2021,81.65,78.0,84.25,77.8, 82.00,82.5,82.2,508144,417.7,6658, 125324, 24.66,2021-06-21
WATERBASE,EQ, 21-Jun-2021,121.4,119.3,123.6,118.35, 122.00,122.4,121.63,160619,195.36,3587, 36713, 22.86,2021-06-21
