S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
146.,Sanathnagar Ent.,39.81,125.40,12.54,0.00,0.21,-47.50,0.00,,6.33
147.,Suvidha Infra.,13.84,,12.31,0.00,0.01,-83.33,0.08,-57.89,-6.50
148.,Dhanuka Infra Realty,11.85,10.56,11.30,0.00,0.89,-66.79,2.33,-35.99,8.86
149.,East Buildtech,59.99,,11.26,0.00,0.97,792.86,0.04,0.00,-4.10
150.,Crane Infra,13.85,21.80,10.03,0.00,0.12,-47.83,0.35,0.00,2.08
151.,Skyline Ventures,23.00,,9.12,0.00,-0.20,-400.00,0.00,,-7.70
152.,Laddu Gopal,0.64,21.58,8.63,0.00,-0.01,-101.89,13.21,,3.31
153.,Croissance Ltd,1.18,161.80,8.09,0.00,0.00,-100.00,0.28,,0.84
154.,KMF Builders,6.35,,7.74,0.00,-0.05,-117.24,0.00,-100.00,-3.47
155.,Epsom Properties,9.30,,6.93,0.00,-0.18,-12.50,0.00,,-340.00
156.,Sikozy Realtors,1.52,,6.78,0.00,-0.15,-150.00,0.00,,-71.43
157.,UTL Industries,1.77,97.17,5.83,0.00,-0.03,25.00,0.03,50.00,1.44
158.,Purohit Const.,12.85,,5.66,0.00,-0.10,-600.00,0.00,-100.00,-20.48
159.,Patidar Buildcon,8.28,,4.55,0.00,-0.14,17.65,0.09,-70.97,-1.19
160.,Abhishek Infra.,8.65,,4.37,0.00,-0.05,16.67,0.00,,-4.83
161.,SBL Infratech,42.00,21.31,3.41,0.00,0.10,-37.50,30.73,95.61,4.18
162.,Unishire Urban,1.36,,3.31,0.00,-0.30,-50.00,15.38,-30.28,-1.32
163.,Athena Construc.,4.11,,3.08,0.00,-0.31,22.50,0.00,,-3.90
164.,Rajeswari Infra.,4.38,,2.42,0.00,-0.04,,0.00,,
165.,Antariksh Indus.,3.75,1.33,0.08,0.00,0.09,-25.00,0.22,-98.16,5.47
